Company_name,Rating,Reviews,Industry_and_Location
Ecom Express,4.0,(4.8k),Logistics | Gurgaon / Gurugram +776 other locations
KEC International,4.0,(4.8k),Engineering & Construction | Mumbai +312 other locations
Eviden,3.6,(4.8k),IT Services & Consulting | Pune +39 other locations
Amdocs,3.6,(4.8k),Software Product | Pune +24 other locations
JBM Group,3.9,(4.7k),Auto Components | Gurgaon / Gurugram +117 other locations
Varun Beverages,4.0,(4.7k),Beverage | New Delhi +379 other locations
Nagarro,3.9,(4.7k),IT Services & Consulting | Gurgaon / Gurugram +49 other locations
ITC Infotech,3.7,(4.7k),IT Services & Consulting | Bangalore / Bengaluru +68 other locations
Bosch,4.1,(4.6k),Auto Components | Bangalore / Bengaluru +132 other locations
Randstad,3.7,(4.6k),Recruitment | Hyderabad / Secunderabad +352 other locations
Home Credit Finance,4.0,(4.6k),NBFC | Gurgaon / Gurugram +136 other locations
EY Global Delivery Services ( EY GDS),3.5,(4.6k),IT Services & Consulting | Bangalore / Bengaluru +56 other locations
Hewlett Packard Enterprise,4.1,(4.5k),IT Services & Consulting | Bangalore / Bengaluru +104 other locations
Utkarsh Small Finance Bank,3.6,(4.5k),Banking | Varanasi +407 other locations
Mahindra Logistics,3.7,(4.5k),Logistics | Mumbai +234 other locations
Aditya Birla Fashion and Retail,4.1,(4.5k),Fashion & Textile | Bangalore / Bengaluru +291 other locations
L&T Finance,3.9,(4.5k),NBFC | Mumbai +633 other locations
Dell,3.8,(4.5k),Consumer Electronics & Appliances | Bangalore / Bengaluru +117 other locations
CARS24,3.4,(4.5k),Internet | Gurgaon / Gurugram +171 other locations
Havells,3.9,(4.5k),Electrical Equipment | Noida +261 other locations
OPPO,3.9,(4.4k),Consumer Electronics & Appliances | Greater Noida +410 other locations
R1 RCM,3.8,(4.4k),BPO | New Delhi +46 other locations
Intas Pharmaceuticals,4.1,(4.4k),Pharma | Ahmedabad +148 other locations
Tata AIA Life Insurance,3.9,(4.4k),Insurance | Mumbai +441 other locations
Hyundai Motor India Limited,4.1,(4.4k),Automobile | Chennai +286 other locations
Deutsche Bank,3.8,(4.3k),Banking | Pune +42 other locations
Hetero,3.9,(4.3k),Pharma | Hyderabad / Secunderabad +68 other locations
Motilal Oswal Financial Services,3.7,(4.3k),Financial Services | Mumbai +168 other locations
Berger Paints,3.7,(4.3k),Chemicals | Kolkata +354 other locations
Team Lease,3.9,(4.3k),Recruitment | Bangalore / Bengaluru +400 other locations
VE Commercial Vehicles,3.9,(4.2k),Automobile | Indore +179 other locations
Lenskart,3.3,(4.2k),Internet | New Delhi +239 other locations
Thermax Limited,4.2,(4.2k),Industrial Machinery | Pune +252 other locations
Bajaj Auto,3.8,(4.1k),Automobile | Pune +319 other locations
Macleods Pharmaceuticals,3.7,(4.1k),Pharma | Mumbai +134 other locations
Kogta Financial India Limited,4.7,(4.1k),NBFC | Jaipur +259 other locations
Aakash Educational Services,3.2,(4.1k),Education & Training | New Delhi +244 other locations
Jubilant Foods Works,3.7,(4.1k),Hospitality | New Delhi +261 other locations
LG Electronics,3.9,(4.1k),Consumer Electronics & Appliances | Pune +298 other locations
Hindalco Industries,4.2,(4k),Metals & Mining | Sambalpur +128 other locations
Royal Enfield,4.2,(4k),Automobile | Chennai +373 other locations
Jindal Steel Limited,3.9,(4k),Iron & Steel | Angul +175 other locations
Tata Communications,3.9,(4k),Telecom | Pune +102 other locations
DCB Bank,3.8,(4k),Banking | Mumbai +342 other locations
John Deere,4.0,(4k),Industrial Machinery | Pune +155 other locations
State Street Corporation,3.5,(4k),Financial Services | Bangalore / Bengaluru +35 other locations
HDFC Ergo General Insurance,4.0,(4k),Insurance | Mumbai +327 other locations
RBL Bank,3.5,(3.9k),Banking | Mumbai +286 other locations
Cummins,4.3,(3.9k),Industrial Machinery | Pune +115 other locations
Oyo Rooms,3.1,(3.9k),Internet | Gurgaon / Gurugram +122 other locations
Alembic Pharmaceuticals,3.9,(3.8k),Pharma | Vadodara +186 other locations
Pidilite Industries,4.2,(3.8k),Chemicals | Mumbai +315 other locations
Bank of America,4.1,(3.8k),Banking | Gurgaon / Gurugram +35 other locations
Reliance Communications,4.0,(3.8k),Telecom | Mumbai +468 other locations
Publicis Sapient,3.4,(3.8k),IT Services & Consulting | Bangalore / Bengaluru +46 other locations
Carelon Global Solutions,3.9,(4.1k),IT Services & Consulting | Bangalore / Bengaluru +21 other locations
Subros,3.8,(3.8k),Auto Components | Noida +89 other locations
American Express,4.1,(3.8k),Financial Services | Gurgaon / Gurugram +53 other locations
Viatris,4.1,(3.8k),Pharma | Hyderabad / Secunderabad +80 other locations
XpressBees,4.2,(3.8k),Logistics | Pune +476 other locations
PVR INOX,3.9,(3.8k),Media & Entertainment | New Delhi +149 other locations
Aditya Birla Sun Life Insurance,4.0,(3.7k),Insurance | Mumbai +487 other locations
Automatic Data Processing (ADP),3.9,(3.7k),Software Product | Hyderabad / Secunderabad +40 other locations
PNB MetLife,3.4,(3.7k),Insurance | New Delhi +426 other locations
